id,job_id,user_id,executed_at,status,batch_id,processing_time_ms,contacts_processed,error_message,created_at
259,1,5,2025-12-19 14:00:40.339+00,success,140,36700,5,,2025-12-19 14:00:40.655787+00
2,1,5,2025-09-10 14:44:50.878+00,success,7,7516,5,,2025-09-10 14:44:50.892811+00
3,11,1,2025-09-13 09:01:20.454+00,success,12,52601,5,,2025-09-13 09:01:20.669419+00
4,11,1,2025-09-14 09:00:13.607+00,success,,6099,0,,2025-09-14 09:00:13.824936+00
260,18,74,2025-12-31 18:36:30.628+00,success,,253,0,,2025-12-31 18:36:30.644743+00
6,1,5,2025-09-15 09:01:18.552+00,success,13,73498,5,,2025-09-15 09:01:19.469685+00
7,11,1,2025-09-15 09:01:21.152+00,failed,,75800,,"update or delete on table ""daily_outreach_jobs"" violates foreign key constraint ""daily_outreach_job_logs_job_id_fkey"" on table ""daily_outreach_job_logs""",2025-09-15 09:01:21.469126+00
8,11,1,2025-09-15 09:02:41.052+00,failed,,3900,,"update or delete on table ""daily_outreach_jobs"" violates foreign key constraint ""daily_outreach_job_logs_job_id_fkey"" on table ""daily_outreach_job_logs""",2025-09-15 09:02:41.168553+00
9,11,1,2025-09-15 09:08:11.852+00,failed_permanent,,4500,,"update or delete on table ""daily_outreach_jobs"" violates foreign key constraint ""daily_outreach_job_logs_job_id_fkey"" on table ""daily_outreach_job_logs""",2025-09-15 09:08:12.069924+00
10,13,22,2025-09-16 09:00:19.525+00,success,,10100,0,,2025-09-16 09:00:20.444821+00
11,13,22,2025-09-17 09:00:12.514+00,success,,3900,0,,2025-09-17 09:00:12.531532+00
12,13,22,2025-09-18 09:00:20.985+00,success,,5099,0,,2025-09-18 09:00:21.201431+00
13,13,22,2025-09-19 09:00:21.188+00,success,,4000,0,,2025-09-19 09:00:21.403394+00
14,13,22,2025-09-20 09:00:06.144+00,success,,5000,0,,2025-09-20 09:00:06.359724+00
15,13,22,2025-09-21 09:00:21.401+00,success,,6299,0,,2025-09-21 09:00:21.620411+00
16,13,22,2025-09-22 09:00:22.736+00,success,,4799,0,,2025-09-22 09:00:22.953975+00
17,13,22,2025-09-23 09:00:22.824+00,success,,5132,0,,2025-09-23 09:00:23.009421+00
18,13,22,2025-09-24 09:00:13.136+00,success,,4829,0,,2025-09-24 09:00:13.329809+00
19,11,1,2025-09-25 09:00:23.845+00,success,,421,0,,2025-09-25 09:00:23.859587+00
20,13,22,2025-09-25 09:00:30.576+00,success,,7600,0,,2025-09-25 09:00:30.794814+00
21,11,1,2025-09-25 09:00:31.308+00,success,,8232,0,,2025-09-25 09:00:31.493818+00
262,17,50,2025-12-31 18:36:42.468+00,success,142,12093,5,,2025-12-31 18:36:42.480209+00
23,1,5,2025-09-25 16:38:32.256+00,success,23,8700,5,,2025-09-25 16:38:32.270167+00
