id,user_id,balance,total_purchased,total_used,last_updated,created_at
31,59,0,0,0,2025-12-14 10:58:20.806266+00,2025-12-14 10:58:20.806266+00
8,48,0,0,0,2025-11-19 23:32:42.562337+00,2025-11-19 23:32:42.562337+00
9,49,0,0,0,2025-11-25 11:17:48.821385+00,2025-11-25 11:17:48.821385+00
11,51,0,0,0,2025-11-29 13:49:40.92355+00,2025-11-29 13:49:40.92355+00
18,52,0,0,0,2025-12-05 18:59:29.945385+00,2025-12-05 18:59:29.945385+00
21,53,0,0,0,2025-12-06 19:45:17.361894+00,2025-12-06 19:45:17.361894+00
6,19,0,0,0,2025-11-11 20:10:56.431997+00,2025-11-11 20:10:56.431997+00
7,47,0,0,0,2025-11-18 22:51:01.933791+00,2025-11-18 22:51:01.933791+00
1,1,430,0,19310,2026-01-30 17:39:19.187+00,2025-10-30 17:23:04.258206+00
10,50,5520,0,1480,2025-12-18 19:23:16.81+00,2025-11-26 00:11:24.107906+00
79,85,2970,0,390,2025-12-18 19:26:09.281+00,2025-12-18 19:12:53.605621+00
59,72,90,0,160,2025-12-16 20:37:19.411+00,2025-12-16 20:36:00.851406+00
62,73,90,0,160,2025-12-16 20:47:19.723+00,2025-12-16 20:46:11.340715+00
25,55,0,0,0,2025-12-12 00:28:59.040604+00,2025-12-12 00:28:59.040604+00
64,74,180,0,320,2025-12-16 21:10:55.447+00,2025-12-16 21:04:09.278086+00
66,75,500,0,0,2025-12-17 16:35:49.887+00,2025-12-17 16:35:49.675568+00
67,76,340,0,160,2025-12-17 16:40:43.766+00,2025-12-17 16:36:43.523929+00
4,5,7210,0,8140,2025-12-19 17:48:42.456+00,2025-10-30 20:02:08.264321+00
