id,user_id,type,title,message,status,priority,metadata,read_at,dismissed_at,created_at
1,1,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-10-30 17:23:25.397475+00
10,52,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-12-05 18:59:35.259603+00
6,48,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-11-19 23:34:30.860587+00
12,53,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-12-06 19:45:39.923619+00
7,49,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-11-25 11:17:56.574612+00
5,47,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-11-18 22:51:05.472799+00
4,19,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-11-11 20:10:59.367873+00
8,50,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-11-26 00:11:42.158147+00
2,5,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",read,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",2025-12-04 19:54:22.176+00,,2025-10-30 20:02:10.089981+00
18,59,badge,Badge Unlocked: Congrats Hatchling Level Unlocked!,"You have unlocked **Email Search**.

Run a NEW search now to see complete results including emails of ~2 Key Contacts per company.",unread,high,"{""badge"": {""id"": 0, ""type"": ""welcome"", ""badge"": ""Hatchling"", ""emoji"": ""🦆"", ""title"": ""Congrats Hatchling Level Unlocked!"", ""trigger"": ""registration_complete"", ""buttonText"": ""Chirp"", ""description"": ""You have unlocked **Email Search**.\n\nRun a NEW search now to see complete results including emails of ~2 Key Contacts per company.""}, ""badgeId"": 0}",,,2025-12-14 10:58:29.531684+00
